Date,Adj_Close,Close,High,Low,Open,Volume
1996-04-30,45.7995,65.3906,65.5625,65.125,65.4375,184400
1996-05-01,45.898,65.5312,65.7968,65.2812,65.375,561900
1996-05-02,45.11,64.4062,65.375,64.0937,65.0156,1299600
1996-05-03,45.0444,64.3125,64.9843,63.75,64.7812,1329300
1996-05-06,45.0006,64.25,64.5625,63.6875,64.5625,647500
1996-05-07,44.8145,63.9843,64.25,63.7656,64.25,582100
1996-05-08,45.3727,64.7812,64.7812,63.0781,63.6718,1694700
1996-05-09,45.3398,64.7343,65.0625,64.5,64.5625,593400
1996-05-10,45.7886,65.375,65.5937,65.0625,65.375,925100
1996-05-13,46.478,66.3593,66.6406,65.4687,65.5312,867500
1996-05-14,46.7626,66.7656,66.9375,66.5625,66.625,632300
1996-05-15,46.7079,66.6875,67.3125,66.6406,66.7812,466100
1996-05-16,46.8063,66.8281,66.9375,66.2812,66.3125,514400
1996-05-17,47.0581,67.1875,67.2968,67.0,67.0,427700
1996-05-20,47.3754,67.6406,67.75,66.9843,67.6562,788500
1996-05-21,47.3097,67.5468,67.875,67.5,67.75,352700
1996-05-22,47.7584,68.1875,68.1875,67.3906,67.625,1218100
1996-05-23,47.5614,67.9062,68.4375,67.5312,68.2812,967900
1996-05-24,47.7475,68.1718,68.3281,67.9375,67.9687,659100
1996-05-28,47.2659,67.4843,68.375,67.3125,68.375,456400
1996-05-29,46.9486,67.0312,67.6875,66.8125,67.625,649600
1996-05-30,47.1894,67.375,67.7187,66.75,66.9375,895800
1996-05-31,46.8392,66.875,67.6406,66.875,67.3593,923500
1996-06-03,46.9705,67.0625,67.1093,66.7031,66.8906,503100
1996-06-04,47.2988,67.5312,67.5937,67.25,67.375,627100
1996-06-05,47.7147,68.125,68.2031,67.4218,67.5625,428000
1996-06-06,47.3645,67.625,68.5,67.5,68.5,523300
1996-06-07,47.3645,67.625,67.6406,66.1875,66.1875,1422800
1996-06-10,47.2112,67.4062,67.7343,67.2968,67.5312,548800
1996-06-11,47.1675,67.3437,68.0312,67.3437,67.6562,688700
1996-06-12,47.0799,67.2187,67.7343,67.1093,67.5625,1120600
1996-06-13,47.0799,67.2187,67.4687,66.8281,67.375,1502000
1996-06-14,46.883,66.9375,67.25,66.7187,67.25,1468200
1996-06-17,46.8501,66.8906,67.2187,66.7187,66.9687,1101000
1996-06-18,46.4671,66.3437,67.0312,66.3281,66.8437,718000
1996-06-19,46.675,66.6406,67.0,66.4218,66.6562,552100
1996-06-20,46.6422,66.5937,66.9218,66.1875,66.7031,1234400
1996-06-21,47.0434,66.8125,66.8125,66.375,66.5625,573300
1996-06-24,47.1314,66.9375,67.2187,66.8437,66.9687,416500
1996-06-25,47.0763,66.8593,67.1718,66.7812,67.125,454400
1996-06-26,46.7573,66.4062,66.9218,66.3906,66.7812,838200
1996-06-27,47.0874,66.875,67.0468,66.1562,66.4062,1090500
1996-06-28,47.2523,67.1093,67.5,66.9687,67.1562,1060800
1996-07-01,47.6595,67.6875,67.7031,67.1875,67.2812,471300
1996-07-02,47.4834,67.4375,67.6406,67.3281,67.625,389400
1996-07-03,47.3844,67.2968,67.5,67.0625,67.4062,308300
1996-07-05,46.1742,65.5781,66.4375,65.375,66.125,842900
1996-07-08,45.9872,65.3125,65.9843,65.125,65.625,942000
1996-07-09,46.1742,65.5781,65.8125,65.375,65.6093,716300
1996-07-10,46.3612,65.8437,65.8437,64.9218,65.5625,1132300
1996-07-11,45.4261,64.5156,65.6875,63.875,65.5625,1587400
1996-07-12,45.4591,64.5625,64.9062,64.0781,64.625,1312000
1996-07-15,44.1169,62.6562,64.7187,62.6562,64.7187,1951300
1996-07-16,44.2269,62.8125,63.5,60.375,62.8437,4141000
1996-07-17,44.755,63.5625,64.0,63.0,63.75,1340500
1996-07-18,45.3711,64.4375,64.5468,63.3281,63.75,1432500
1996-07-19,45.041,63.9687,64.375,63.625,64.2812,1216000
1996-07-22,44.711,63.5,63.75,63.0156,63.5312,519800
1996-07-23,44.1389,62.6875,63.9375,62.5781,63.5937,1479800
1996-07-24,44.2269,62.8125,63.1875,61.625,61.9375,2463400
1996-07-25,44.623,63.375,63.5625,63.125,63.4375,1989800
1996-07-26,44.865,63.7187,63.8125,63.3906,63.5625,642300
1996-07-29,44.3699,63.0156,63.7187,62.9375,63.625,1297900
1996-07-30,44.799,63.625,63.6875,62.9375,63.4375,1868200
1996-07-31,45.129,64.0937,64.2656,63.5156,63.6718,767100
1996-08-01,45.8771,65.1562,65.3906,64.0625,64.1562,1168600
1996-08-02,46.8673,66.5625,66.5937,65.75,66.0,1098500
1996-08-05,46.5922,66.1718,66.5937,65.9687,66.5781,710200
1996-08-06,46.7353,66.375,66.5156,65.7968,66.1562,640000
1996-08-07,46.8563,66.5468,66.75,66.125,66.625,917800
1996-08-08,46.7793,66.4375,66.5625,66.1875,66.5625,925100
1996-08-09,46.6253,66.2187,66.7656,66.0625,66.6718,648800
1996-08-12,46.9663,66.7031,66.8593,66.0,66.25,764200
1996-08-13,46.5922,66.1718,66.625,66.0,66.5781,805200
1996-08-14,46.7573,66.4062,66.4687,66.0,66.1875,533800
1996-08-15,46.6693,66.2812,66.625,66.2031,66.2343,632600
1996-08-16,47.0653,66.8437,66.875,66.4687,66.4687,475100
1996-08-19,47.0874,66.875,66.9218,66.625,66.8593,436400
1996-08-20,47.0543,66.8281,66.9062,66.6718,66.8906,645700
1996-08-21,46.8893,66.5937,66.8125,66.375,66.6562,266400
1996-08-22,47.3294,67.2187,67.3437,66.7187,66.75,584800
1996-08-23,47.0763,66.8593,67.2031,66.6406,67.0937,757100
1996-08-26,46.8453,66.5312,66.7812,66.4218,66.7031,784700
1996-08-27,47.0213,66.7812,66.8437,66.5,66.7187,389400
1996-08-28,46.9443,66.6718,67.0,66.6562,66.9375,227600
1996-08-29,46.4823,66.0156,66.5937,65.625,66.5937,680200
1996-08-30,45.9982,65.3281,66.0156,65.125,66.0,1500900
1996-09-03,46.2952,65.75,65.8437,64.375,64.4687,1782000
1996-09-04,46.3392,65.8125,66.75,65.4843,65.75,930200
1996-09-05,45.7781,65.0156,65.7656,65.0156,65.5,616600
1996-09-06,46.4273,65.9375,66.1718,65.1406,65.25,804900
1996-09-09,46.9773,66.7187,66.7343,66.0781,66.1875,719200
1996-09-10,46.9553,66.6875,66.9062,66.375,66.625,669900
1996-09-11,47.2194,67.0625,67.125,66.4062,66.5625,713500
1996-09-12,47.5494,67.5312,67.7343,67.1562,67.25,713300
1996-09-13,48.2755,68.5625,68.625,68.125,68.3125,2008800
1996-09-16,48.4516,68.8125,69.1562,68.5625,68.6562,1220200
1996-09-17,48.3415,68.6562,68.9843,68.2343,68.875,604700
1996-09-18,48.2205,68.4843,68.75,68.2187,68.5625,225500
1996-09-19,48.4076,68.75,68.7968,68.2812,68.375,410000
1996-09-20,48.5793,68.6406,68.7812,68.375,68.5937,948400
1996-09-23,48.5682,68.625,68.75,68.1562,68.4687,466800
1996-09-24,48.5571,68.6093,69.25,68.3125,68.5625,1269800
1996-09-25,48.5903,68.6562,68.9375,68.5,68.9375,1353300
1996-09-26,48.5682,68.625,69.1875,68.3906,68.75,773200
1996-09-27,48.6125,68.6875,68.7187,68.375,68.7187,407600
1996-09-30,48.5682,68.625,69.0625,68.5781,68.7812,578200
1996-10-01,48.8336,69.0,69.0468,68.4375,68.7031,561400
1996-10-02,49.1653,69.4687,69.5937,69.1562,69.25,609000
1996-10-03,49.1211,69.4062,69.5312,69.2031,69.5,342200
1996-10-04,49.7846,70.3437,70.3437,69.5,69.6875,754100
